Class name,Quarter Offered,Career,Grading,Class Number,Type,Instruction Mode,Credits,General education,Status,Available Seats,Enrollment Capacity,Enrolled,Wait List Capacity,Wait List Total,Description,Enrollment Requirements,Class Notes,Meeting Information,Associated Discussion Sections or Labs
Linear Algebra for Engineers,2025 Winter Quarter,Undergraduate,Student Option,30521,Lecture,In Person,5 units,MF,Open,2,270,268,0,0,"Applications-oriented course on complex numbers and linear algebra integrating Matlab as a computational support tool. Introduction to complex algebra. Vectors, bases and transformations, matrix algebra, solutions of linear systems, inverses and determinants, eigenvalues and eigenvectors, and geometric transformations. Students cannot receive credit for this course and MATH 21. (Formerly Mathematical Methods for Engineers I.)",Prerequisite(s): score of 400 or higher on the  mathematics placement examination (MPE)  or MATH 3.,Enroll in lecture and associated discussion section.,"Days & Times: MWF 12:00PM-01:05PM, Room: ClassroomUnit 002, Instructor: Katznelson,J.R., Dates: 01/06/25 - 03/14/25","#32030 DIS 01A, M 04:00PM-05:05PM, Staff, Loc: Steven Acad 152, Enrl: 29 / 30, Wait: 0 / 0, Open; #32029 DIS 01B, M 05:20PM-06:25PM, Staff, Loc: Steven Acad 152, Enrl: 28 / 30, Wait: 0 / 0, Open; #32028 DIS 01C, Tu 11:40AM-12:45PM, Staff, Loc: PhysSciences 136, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32027 DIS 01D, Tu 01:30PM-02:35PM, Staff, Loc: PhysSciences 136, Enrl: 34 / 35, Wait: 0 / 0, Open; #32026 DIS 01E, W 08:00AM-09:05AM, Staff, Loc: PhysSciences 140, Enrl: 14 / 30, Wait: 0 / 0, Open; #32025 DIS 01F, W 09:20AM-10:25AM, Staff, Loc: PhysSciences 140, Enrl: 33 / 35, Wait: 0 / 0, Open; #32024 DIS 01G, Th 05:20PM-06:25PM, Staff, Loc: Earth&Marine B210, Enrl: 32 / 32, Wait: 0 / 0, Closed; #32023 DIS 01H, Th 07:10PM-08:15PM, Staff, Loc: Earth&Marine B210, Enrl: 31 / 32, Wait: 0 / 0, Open; #32933 DIS 01I, F 09:20AM-10:25AM, Staff, Loc: N. Sci Annex 103, Enrl: 32 / 32, Wait: 0 / 0, Closed"
Mathematical Methods for Economists I,2025 Winter Quarter,Undergraduate,Student Option,30520,Lecture,In Person,5 units,MF,Closed,0,80,81,0,0,"Introduction to mathematical tools and reasoning, with applications to economics. Topics are drawn from differential calculus in one variable and include limits, continuity, differentiation, elasticity, Taylor polynomials, and optimization. Students cannot receive credit for both this course and MATH 11A or MATH 19A or AM 15A or ECON 11A. (AM 11A formerly AMS 11A.)","Students who have already taken MATH 11A or MATH 19A should not take this course. Prerequisite(s): score of 300 or higher on the mathematics placement examination (MPE), AM 3 or AM 6, or MATH 3.",Enroll in lecture and associated discussion section.,"Days & Times: MWF 09:20AM-10:25AM, Room: R Carson Acad 240, Instructor: Simons,J., Dates: 01/06/25 - 03/14/25","#32014 DIS 01A, M 01:20PM-02:25PM, Staff, Loc: Oakes Acad 102, Enrl: 32 / 32, Wait: 0 / 0, Closed; #32013 DIS 01B, Tu 08:00AM-09:05AM, Staff, Loc: J Baskin Engr 372, Enrl: 19 / 32, Wait: 0 / 0, Open; #32934 DIS 01C, W 05:20PM-06:25PM, Staff, Loc: N. Sci Annex 102, Enrl: 30 / 32, Wait: 0 / 0, Open"
Mathematical Methods for Economists II,2025 Winter Quarter,Undergraduate,Student Option,30915,Lecture,In Person,5 units,MF,Open,1,140,139,0,0,"Mathematical tools and reasoning, with applications to economics. Topics are drawn from multivariable differential calculus and single variable integral calculus, and include partial derivatives, linear and quadratic approximation, optimization with and without constraints, Lagrange multipliers, definite and indefinite integrals, and elementary differential equations. Students cannot receive credit for both this course and MATH 11B or MATH 19B or ECON 11B (AM 11B formerly AMS 11B.)","Prerequisite(s): AM 11A, or ECON 11A, or MATH 11A, or MATH 19A.",Enroll in lecture and associated discussion section.,"Days & Times: MWF 02:40PM-03:45PM, Room: Oakes Acad 105, Instructor: Jackson,J., Dates: 01/06/25 - 03/14/25","#32018 DIS 01A, M 05:20PM-06:25PM, Staff, Loc: Oakes Acad 106, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32017 DIS 01B, M 07:10PM-08:15PM, Staff, Loc: Oakes Acad 106, Enrl: 34 / 35, Wait: 0 / 0, Open; #32016 DIS 01C, W 08:00AM-09:05AM, Staff, Loc: R Carson  Acad 250, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32015 DIS 01D, W 09:20AM-10:25AM, Staff, Loc: R Carson  Acad 250, Enrl: 35 / 35, Wait: 0 / 0, Closed"
Ordinary Differential Equations for Engineers,2025 Winter Quarter,Undergraduate,Student Option,30519,Lecture,In Person,5 units,MF,Open,18,225,207,0,0,Applications-oriented class on ordinary differential equations (ODEs) and systems of ODEs using Matlab as a computational support tool. Covers linear ODEs and systems of linear ODEs; nonlinear ODEs using substitution and Laplace transforms; phase-plane analysis; introduction to numerical methods. Students cannot receive credit for this course and MATH 24. (Formerly Mathematical Methods for Engineers II.),"Prerequisite(s): MATH 19B or MATH 20B, and AM 10 or MATH 21.",Enroll in lecture and associated secondary lab.,"Days & Times: TuTh 09:50AM-11:25AM, Room: ClassroomUnit 002, Instructor: Gong,Q., Dates: 01/06/25 - 03/14/25","#31351 LBS 01A, Tu 12:30PM-02:00PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 37 / 40, Wait: 0 / 0, Open; #31350 LBS 01B, W 11:30AM-01:00PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 39 / 40, Wait: 0 / 0, Open; #31349 LBS 01C, Th 03:30PM-05:00PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 35 / 40, Wait: 0 / 0, Open; #31348 LBS 01D, F 10:00AM-11:30AM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 29 / 40, Wait: 0 / 0, Open; #45982 LBS 01E, M 01:15PM-02:45PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 40 / 40, Wait: 0 / 0, Closed; #45979 LBS 01F, W 04:15PM-05:45PM, Staff, Loc: Soc Sci 1 135 PC Lab, Enrl: 27 / 40, Wait: 0 / 0, Open"
Multivariate Calculus for Engineers,2025 Winter Quarter,Undergraduate,Student Option,32609,Lecture,In Person,5 units,,Open,5,80,75,0,0,"Advanced multivariate calculus for engineering majors. Coordinate systems, parametric curves, and surfaces; partial derivatives, gradient, Taylor expansion, stationary points, constrained optimization; integrals in multiple dimensions; integrals over curves and surfaces. Applications to engineering form an integral part of the course. Students cannot receive credit for this course and for MATH 22 or MATH 23A.",Prerequisite(s): AM 10 or MATH 21; MATH 19B or MATH 20B.,Enroll in lecture and associated discussion section.,"Days & Times: MWF 04:00PM-05:05PM, Room: N. Sci Annex 101, Instructor: Dey,P., Dates: 01/06/25 - 03/14/25","#33033 DIS 01A, M 06:40PM-07:45PM, Staff, Loc: Kresge Acad 3101, Enrl: 38 / 40, Wait: 0 / 0, Open; #33034 DIS 01B, W 09:20AM-10:25AM, Staff, Loc: Engineer 2 192, Enrl: 37 / 40, Wait: 0 / 0, Open"
Introduction to Partial Differential Equations,2025 Winter Quarter,Undergraduate,Student Option,30518,Lecture,In Person,5 units,,Closed,0,50,50,0,0,"Teaches analytical methods for the solution of first- and second-order PDEs of two variables, including: the method of characteristics for first-order PDEs; separation of variables for the heat, wave, and Laplace?s equations in a finite or periodic Cartesian domain; homogeneous vs. forced problem; Sturm-Liouville theory; polar and spherical coordinate systems. Each method is illustrated by solving PDEs originating from real-life applications. Students cannot receive credit for this course and AM 212A.",Prerequisite(s): AM 100 or by permission of the instructor. Enrollment is restricted to juniors and seniors.,Enroll in lecture and associated discussion section.,"Days & Times: TuTh 03:20PM-04:55PM, Room: Porter Acad 144, Instructor: Wang,H., Dates: 01/06/25 - 03/14/25","#31658 DIS 01A, Th 09:50AM-10:55AM, Staff, Loc: Soc Sci 2 071, Enrl: 38 / 50, Wait: 0 / 0, Open; #45942 DIS 01B, W 02:40PM-03:45PM, Staff, Loc: Soc Sci 1 161, Enrl: 12 / 25, Wait: 0 / 0, Open"
Computational Methods and Applications,2025 Winter Quarter,Undergraduate,Student Option,30517,Lecture,In Person,5 units,MF,Open,1,150,149,0,0,"Applications of computational methods to solving mathematical problems using Matlab. Topics include solution of nonlinear equations, linear systems, differential equations, sparse matrix solver, and eigenvalue problems.",Prerequisite(s): AM 10 or MATH 21. Knowledge of differential equations (AM 20 or  MATH 24) is recommended.,Enroll in lecture and associated discussion section.,"Days & Times: MWF 10:40AM-11:45AM, Room: Kresge Acad 3201, Instructor: Gonzalez-Rocha,J., Dates: 01/06/25 - 03/14/25","#32020 DIS 01A, Tu 05:20PM-06:25PM, Staff, Loc: R Carson  Acad 250, Enrl: 31 / 30, Wait: 0 / 0, Closed; #32021 DIS 01B, W 02:40PM-03:45PM, Staff, Loc: McHenry Lib 1340, Enrl: 35 / 30, Wait: 0 / 0, Closed; #32022 DIS 01C, Th 08:00AM-09:05AM, Staff, Loc: McHenry Lib 1340, Enrl: 19 / 30, Wait: 0 / 0, Open; #45921 DIS 01D, M 05:20PM-06:25PM, Staff, Loc: PhysSciences 136, Enrl: 32 / 32, Wait: 0 / 0, Closed; #45922 DIS 01E, W 04:00PM-05:05PM, Staff, Loc: Soc Sci 1 161, Enrl: 32 / 32, Wait: 0 / 0, Closed"
Introduction to Scientific Machine Learning,2025 Winter Quarter,Undergraduate,Student Option,30516,Lecture,In Person,5 units,,Open,4,50,46,0,0,"Introduction to scientific machine learning covering dimension reduction techniques for scientific data, modern methods in sparse regression and compressed sensing, deep neural networks for modeling real-life systems, and neural ordinary differential equations.","Prerequisite(s): AM 20 and AM 30, or MATH 24, or PHYS 116A, and AM 129 or CSE 30. Enrollment is restricted to junior and senior students, and graduate students in applied mathematics. Prerequisite courses waived for graduate students.",,"Days & Times: MWF 01:20PM-02:25PM, Room: Porter Acad 148, Instructor: Chattopadhyay,A., Dates: 01/06/25 - 03/14/25","#32526 DIS 01A, W 09:20AM-10:25AM, Staff, Loc: Cowell Clrm 131, Enrl: 25 / 50, Wait: 0 / 0, Open"
Mathematical Modeling 1,2025 Winter Quarter,Undergraduate,Student Option,30515,Lecture,In Person,5 units,,Open,2,38,36,0,0,"Introduction to mathematical modeling emphasizing model construction, tool selection, methods of solution, critical analysis of the results, and professional-level presentation of the results (written and oral). Focuses on problems that can be solved using only analytical tools, and simple Matlab routines. Applications are drawn from a variety of fields such as physics, biology, engineering, and economics.","Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements. AM 30, and AM 114, and STAT 131 or CSE 107, or by instructor permission. Enrollment is restricted to juniors and seniors majoring in applied mathematics and proposed applied mathematics majors.",,"Days & Times: TuTh 01:30PM-03:05PM, Room: N. Sci Annex 103, Instructor: Garaud,P., Dates: 01/06/25 - 03/14/25","#31654 DIS 01A, Th 05:20PM-06:25PM, Staff, Loc: R Carson  Acad 252, Enrl: 22 / 35, Wait: 0 / 0, Open; #31655 DIS 01B, M 05:20PM-06:25PM, Staff, Loc: PhysSciences 140, Enrl: 3 / 35, Wait: 0 / 0, Open"
Numerical Linear Algebra,2025 Winter Quarter,Graduate,Student Option,30514,Lecture,In Person,5 units,,Closed,0,25,26,0,0,"Focuses on numerical solutions to classic problems of linear algebra. Topics include: LU, Cholesky, and QR factorizations; iterative methods for linear equations; least square, power methods, and QR algorithms for eigenvalue problems; and conditioning and stability of numerical algorithms. Provides hands-on experience in implementing numerical algorithms for solving engineering and scientific problems. Basic knowledge of mathematical linear algebra is assumed. (Formerly AMS  213A.)",Enrollment is restricted to graduate students. Undergraduate students may enroll with permission of the instructor.,,"Days & Times: TuTh 09:50AM-11:25AM, Room: Soc Sci 1 161, Instructor: Lee,D., Dates: 01/06/25 - 03/14/25",
